POI,lat[deg],lon[deg]
737,78.8764,275.294
738,78.8764,280.588
739,78.8764,285.882
740,78.8764,291.176
741,78.8764,296.471
742,78.8764,301.765
743,78.8764,307.059
744,78.8764,312.353
745,78.8764,317.647
746,78.8764,322.941
747,78.8764,328.235
748,78.8764,333.529
749,78.8764,338.824
750,78.8764,344.118
751,78.8764,349.412
752,78.8764,354.706
753,-78.8764,0
754,-78.8764,5.29412
755,-78.8764,10.5882
756,-78.8764,15.8824
757,-78.8764,21.1765
758,-78.8764,26.4706
759,-78.8764,31.7647
760,-78.8764,37.0588
761,-78.8764,42.3529
762,-78.8764,47.6471
763,-78.8764,52.9412
764,-78.8764,58.2353
765,-78.8764,63.5294
766,-78.8764,68.8235
767,-78.8764,74.1176
768,-78.8764,79.4118
769,-78.8764,84.7059
770,-78.8764,90
771,-78.8764,95.2941
772,-78.8764,100.588
773,-78.8764,105.882
774,-78.8764,111.176
775,-78.8764,116.471
776,-78.8764,121.765
777,-78.8764,127.059
778,-78.8764,132.353
779,-78.8764,137.647
780,-78.8764,142.941
781,-78.8764,148.235
782,-78.8764,153.529
783,-78.8764,158.824
784,-78.8764,164.118
785,-78.8764,169.412
786,-78.8764,174.706
787,-78.8764,180
788,-78.8764,185.294
789,-78.8764,190.588
790,-78.8764,195.882
791,-78.8764,201.176
792,-78.8764,206.471
793,-78.8764,211.765
794,-78.8764,217.059
795,-78.8764,222.353
796,-78.8764,227.647
797,-78.8764,232.941
798,-78.8764,238.235
799,-78.8764,243.529
800,-78.8764,248.824
801,-78.8764,254.118
802,-78.8764,259.412
803,-78.8764,264.706
804,-78.8764,270
805,-78.8764,275.294
806,-78.8764,280.588
807,-78.8764,285.882
808,-78.8764,291.176
809,-78.8764,296.471
810,-78.8764,301.765
811,-78.8764,307.059
812,-78.8764,312.353
813,-78.8764,317.647
814,-78.8764,322.941
815,-78.8764,328.235
816,-78.8764,333.529
817,-78.8764,338.824
818,-78.8764,344.118
819,-78.8764,349.412
820,-78.8764,354.706
821,77.8652,0
822,77.8652,4.86486
823,77.8652,9.72973
824,77.8652,14.5946
825,77.8652,19.4595
826,77.8652,24.3243
827,77.8652,29.1892
828,77.8652,34.0541
829,77.8652,38.9189
830,77.8652,43.7838
831,77.8652,48.6486
832,77.8652,53.5135
833,77.8652,58.3784
834,77.8652,63.2432
835,77.8652,68.1081
836,77.8652,72.973
837,77.8652,77.8378
838,77.8652,82.7027
839,77.8652,87.5676
840,77.8652,92.4324
841,77.8652,97.2973
842,77.8652,102.162
843,77.8652,107.027
844,77.8652,111.892
845,77.8652,116.757
846,77.8652,121.622
847,77.8652,126.486
848,77.8652,131.351
849,77.8652,136.216
850,77.8652,141.081
851,77.8652,145.946
852,77.8652,150.811
853,77.8652,155.676
854,77.8652,160.541
855,77.8652,165.405
856,77.8652,170.27
857,77.8652,175.135
858,77.8652,180
859,77.8652,184.865
860,77.8652,189.73
861,77.8652,194.595
862,77.8652,199.459
863,77.8652,204.324
864,77.8652,209.189
865,77.8652,214.054
866,77.8652,218.919
867,77.8652,223.784
868,77.8652,228.649
869,77.8652,233.514
870,77.8652,238.378
871,77.8652,243.243
872,77.8652,248.108
873,77.8652,252.973
874,77.8652,257.838
875,77.8652,262.703
876,77.8652,267.568
877,77.8652,272.432
878,77.8652,277.297
879,77.8652,282.162
880,77.8652,287.027
881,77.8652,291.892
882,77.8652,296.757
883,77.8652,301.622
884,77.8652,306.486
885,77.8652,311.351
886,77.8652,316.216
887,77.8652,321.081
888,77.8652,325.946
889,77.8652,330.811
890,77.8652,335.676
891,77.8652,340.541
892,77.8652,345.405
893,77.8652,350.27
894,77.8652,355.135
895,-77.8652,0
896,-77.8652,4.86486
897,-77.8652,9.72973
898,-77.8652,14.5946
899,-77.8652,19.4595
900,-77.8652,24.3243
901,-77.8652,29.1892
902,-77.8652,34.0541
903,-77.8652,38.9189
904,-77.8652,43.7838
905,-77.8652,48.6486
906,-77.8652,53.5135
907,-77.8652,58.3784
908,-77.8652,63.2432
909,-77.8652,68.1081
910,-77.8652,72.973
911,-77.8652,77.8378
912,-77.8652,82.7027
913,-77.8652,87.5676
914,-77.8652,92.4324
915,-77.8652,97.2973
916,-77.8652,102.162
917,-77.8652,107.027
918,-77.8652,111.892
919,-77.8652,116.757
920,-77.8652,121.622
921,-77.8652,126.486
922,-77.8652,131.351
923,-77.8652,136.216
924,-77.8652,141.081
925,-77.8652,145.946
926,-77.8652,150.811
927,-77.8652,155.676
928,-77.8652,160.541
929,-77.8652,165.405
930,-77.8652,170.27
931,-77.8652,175.135
932,-77.8652,180
933,-77.8652,184.865
934,-77.8652,189.73
935,-77.8652,194.595
936,-77.8652,199.459
937,-77.8652,204.324
938,-77.8652,209.189
939,-77.8652,214.054
940,-77.8652,218.919
941,-77.8652,223.784
942,-77.8652,228.649
943,-77.8652,233.514
944,-77.8652,238.378
945,-77.8652,243.243
946,-77.8652,248.108
947,-77.8652,252.973
948,-77.8652,257.838
949,-77.8652,262.703
950,-77.8652,267.568
951,-77.8652,272.432
952,-77.8652,277.297
953,-77.8652,282.162
954,-77.8652,287.027
955,-77.8652,291.892
956,-77.8652,296.757
957,-77.8652,301.622
958,-77.8652,306.486
959,-77.8652,311.351
960,-77.8652,316.216
961,-77.8652,321.081
962,-77.8652,325.946
963,-77.8652,330.811
964,-77.8652,335.676
965,-77.8652,340.541
966,-77.8652,345.405
967,-77.8652,350.27
968,-77.8652,355.135
969,76.8539,0
970,76.8539,4.5
971,76.8539,9
972,76.8539,13.5
973,76.8539,18
974,76.8539,22.5
975,76.8539,27
976,76.8539,31.5
977,76.8539,36
978,76.8539,40.5
979,76.8539,45
980,76.8539,49.5
981,76.8539,54
982,76.8539,58.5
983,76.8539,63
984,76.8539,67.5
985,76.8539,72
986,76.8539,76.5
987,76.8539,81
988,76.8539,85.5
989,76.8539,90
990,76.8539,94.5
991,76.8539,99
992,76.8539,103.5
993,76.8539,108
994,76.8539,112.5
995,76.8539,117
996,76.8539,121.5
997,76.8539,126
998,76.8539,130.5
999,76.8539,135
1000,76.8539,139.5
1001,76.8539,144
1002,76.8539,148.5
1003,76.8539,153
1004,76.8539,157.5
1005,76.8539,162
1006,76.8539,166.5
1007,76.8539,171
1008,76.8539,175.5
1009,76.8539,180
1010,76.8539,184.5
1011,76.8539,189
1012,76.8539,193.5
1013,76.8539,198
1014,76.8539,202.5
1015,76.8539,207
1016,76.8539,211.5
1017,76.8539,216
1018,76.8539,220.5
1019,76.8539,225
1020,76.8539,229.5
1021,76.8539,234
1022,76.8539,238.5
1023,76.8539,243
1024,76.8539,247.5
1025,76.8539,252
1026,76.8539,256.5
1027,76.8539,261
1028,76.8539,265.5
1029,76.8539,270
1030,76.8539,274.5
