POI index,Mean of Ground Pixel Along-Track Resolution [m],Mean of Ground Pixel Cross-Track Resolution [m],Mean of SNR,Mean of DR,Mean of Noise-Equivalent Delta T [K],SD of Ground Pixel Along-Track Resolution [m],SD of Ground Pixel Cross-Track Resolution [m],SD of SNR,SD of DR,SD of Noise-Equivalent Delta T [K]
1017,29.94675186351371,30.083354739161607,445.7861930260172,14857.68434223636,,1.0833148251155257e-10,0.13503645105379694,327.04203632529027,14505.778130339604,
1018,29.946751863549316,30.211522158048574,483.1394887283906,15195.840399972421,,1.0791626990830071e-10,0.19813615732346138,280.8219297642565,12047.515455375156,
1019,29.946751863494658,30.247667583868886,474.6537093748927,14498.562113317226,,1.1352837884465054e-10,0.17185377984959804,263.88074242676964,14985.70498454361,
1020,29.946751863518685,30.235688853696566,459.92115832286214,15407.816110712422,,9.728520208032481e-11,0.16938436181805636,322.89892841268414,13405.527083115421,
1021,29.946751863502758,30.280658246087082,470.4544241370379,14437.877908028691,,1.2746012675341285e-10,0.17604969323177203,271.54782097879627,13006.667444948536,
1022,29.946751863477424,30.163417456455083,501.34167786897217,17989.582520060918,,1.3616073832743024e-10,0.18202580695102602,342.1480866910538,16133.601683358958,
1023,29.946751863548123,30.106581719061058,519.5814108011979,18014.503025714523,,1.0788801138521884e-10,0.19533317724240776,316.1119894843359,13181.90865235843,
1024,29.94675186352546,30.002705101711552,484.25936468589146,14627.754170193992,,1.2753814692112875e-10,0.07990253792900043,259.34033865542034,14721.580405640503,
1025,29.946751863518465,30.040052180194824,445.4063716735945,14549.596376819256,,8.974770775012396e-11,0.17152278431162235,318.492991746749,14699.10053604964,
1026,29.94675186352256,30.035599075312476,502.32624659071496,18124.989248735932,,8.58760076278473e-11,0.12118094313773635,354.2023961515738,15239.763470258215,
1027,29.946751863546563,30.10310357365707,494.0284936628027,14434.366643555355,,1.6728104102379126e-10,0.17329848247725155,221.67127305895107,11701.59474574936,
1028,29.946751863517143,30.190283769101733,448.8360331597056,14512.298901751861,,9.666768306997524e-11,0.18544928965354712,309.47712782483234,13087.108279969912,
1029,29.946751863552514,30.269114882939796,434.67583988283275,12543.933183078305,,9.360496304749603e-11,0.14992086295753634,261.49291949744105,11535.31598247795,
1030,29.946751863509608,30.236573421402877,471.14744738753205,15307.30420818829,,9.663993879818083e-11,0.16349944784598688,301.25363041687274,15690.430756033296,
1031,29.946751863509977,30.210549034428592,486.77524700632756,17786.470155174993,,8.275543767760604e-11,0.1770813492361438,358.13806097975885,15066.161866567087,
1032,29.946751863500026,30.21553140761634,511.0838004800855,16123.19090375115,,1.0384171059100327e-10,0.22467310750009187,260.0422716524009,13369.509983850638,
1033,29.94675186347921,30.09277853620056,470.87668440517854,16253.514193727162,,1.0733424693198021e-10,0.17383043310740676,335.1402490491014,15409.525027029506,
1034,29.946751863579458,29.98291414841955,538.414410358184,18785.51060777419,,9.07975019321717e-11,0.03563997067966999,315.6967084708321,12984.808682201878,
1035,29.946751863529723,30.00544224454095,529.7278331940612,16970.243456562202,,1.3276735190989144e-10,0.07616394313953473,258.333955838476,14541.179125185596,
1036,29.946751863499014,30.089777883377256,467.1303862945654,15315.34393279673,,9.111359896388969e-11,0.1882648899775118,309.3200266572553,14183.89733769774,
1037,29.946751863505526,30.161567146079797,469.5859707341355,15446.524942605078,,9.566958110865158e-11,0.20538417296067746,314.69235891111083,13300.411031444872,
1038,29.946751863534562,30.193025613969372,458.7823004848447,12869.546189586441,,1.1009122796555104e-10,0.16469996834645237,226.19077560733987,12310.53677897819,
1039,29.94675186352186,30.230112716551353,463.01506084204226,15992.646447476003,,1.2126166713468244e-10,0.1650885809139819,337.40622640503227,14879.760443113635,
