POI index,Mean of Ground Pixel Along-Track Resolution [m],Mean of Ground Pixel Cross-Track Resolution [m],Mean of Sigma NEZ Nought [dB],Mean of Incidence angle [deg],Mean of Swath-width [km],SD of Ground Pixel Along-Track Resolution [m],SD of Ground Pixel Cross-Track Resolution [m],SD of Sigma NEZ Nought [dB],SD of Incidence angle [deg],SD of Swath-width [km]
406,4.904003183233109,24.359660596026448,-22.906420029651613,23.039940782947525,94.8806058707293,0.0002047919995260477,2.3603694595882208,0.6342162764771297,2.4181402764366067,0.04103344530164141
407,4.904251048470036,23.52641744311201,-22.724549517708112,23.72856574307413,94.8309469033842,nan,nan,nan,nan,nan
408,4.9037387342136745,23.013527954182283,-22.562999414044782,24.291076091858372,94.93359348390142,nan,nan,nan,nan,nan
409,4.903915238783083,24.188652398540224,-22.854269721804954,23.22875683911026,94.89822710498247,0.0002186483801320392,2.4033207709241156,0.6775352767827738,2.5953627462432665,0.0438086716472164
410,4.904106577849189,23.945800234478625,-22.77080050784278,23.600185398778667,94.85989446764052,0.00033261650525368827,3.25327184015062,0.8462513072238272,3.1590071515104032,0.06664171635087376
411,4.9037483072700745,24.04343129612964,-22.850311861279227,23.188113188869988,94.9316750590069,nan,nan,nan,nan,nan
412,4.90399872115382,25.673946147800326,-23.251668090293393,21.730669082742367,94.8815008659689,0.00028426445311253263,2.2242943971717364,0.5256564996198713,1.978057778171479,0.05695466287125434
413,4.9039221133780515,23.91836080510439,-22.75855035135947,23.620495287884022,94.89685324118739,0.0003408663261773192,3.2062200920094193,0.8200556818994003,3.118795482502025,0.0682941293964446
414,4.903938504084139,25.56910258085916,-23.243190103007727,21.736778879930874,94.89356545747879,0.00025278893816126205,0.5317609339402022,0.13666683719815428,0.4750684820720453,0.05065069748916825
415,4.90423206356713,23.06311314183589,-22.592635062914912,24.23549133695344,94.83474995221884,nan,nan,nan,nan,nan
416,4.903734010280347,23.47495535631013,-22.694283432828737,23.783788682191524,94.93454015777577,nan,nan,nan,nan,nan
417,4.9039029536541205,24.338785230728792,-22.897367401258943,23.061189094057408,94.90068857663387,0.00021308572332880824,2.3540743066485783,0.6378755729308183,2.4287732962986492,0.042694597371119185
418,4.904279490349305,24.556856572802772,-22.949939927312684,22.933632488983303,94.82524956087796,2.124223670874175e-05,3.4334320988625593,0.8967143259915704,3.3874812806595167,0.004255109800654602
419,4.903742471245041,24.55884710566769,-22.98579958827917,22.67401243548645,94.93284458718144,nan,nan,nan,nan,nan
420,4.9039241893087935,24.75731412693088,-22.998527493765977,22.690183338757574,94.89643377120872,0.00022241950930246247,2.795622789539284,0.6828363097889598,2.548573100651868,0.0445639077714942
421,4.904116030268634,23.28588199358011,-22.61944549091443,24.15267237801257,94.85800100640274,0.00033935649518822215,2.19426770000235,0.6187042452158377,2.3748334421444213,0.06799171227354481
422,4.90387196652182,24.16837880231881,-22.84668970242963,23.25424792755163,94.90689728770111,0.00019666798380613699,2.4278367197116735,0.6872405725002624,2.634878477655483,0.03940619008627961
423,4.904228132652591,25.20673345682996,-23.108319079287376,22.327595107052232,94.83553741654232,2.12485913068956e-05,3.6531844316310518,0.9127155747959997,3.4083041388657698,0.004256555155442303
424,4.90372994962025,23.9583084854579,-22.826950072074318,23.275341621881946,94.93535391485098,nan,nan,nan,nan,nan
425,4.903891113477131,24.515544458744383,-22.942322251793758,22.89146826474297,94.90306091208164,0.0002072466561261087,2.47151288496076,0.636288862411552,2.400516015704513,0.041525103639115775
426,4.904260529120958,24.038524007000234,-22.813147945025385,23.44288138499845,94.82904778204306,2.1278366465859694e-05,3.2617525225352417,0.8857976601601268,3.3692424592092363,0.004262410833590571
427,4.903737284767939,25.09952546892533,-23.12276222734076,22.159339264835445,94.93388395172107,nan,nan,nan,nan,nan
428,4.904342094265,24.021802088823648,-22.865040658047914,23.210213448546373,94.81270943436743,nan,nan,nan,nan,nan
