POI,lat[deg],lon[deg]
575,75.7143,110.323
576,75.7143,116.129
577,75.7143,121.935
578,75.7143,127.742
579,75.7143,133.548
580,75.7143,139.355
581,75.7143,145.161
582,75.7143,150.968
583,75.7143,156.774
584,75.7143,162.581
585,75.7143,168.387
586,75.7143,174.194
587,75.7143,180
588,75.7143,185.806
589,75.7143,191.613
590,75.7143,197.419
591,75.7143,203.226
592,75.7143,209.032
593,75.7143,214.839
594,75.7143,220.645
595,75.7143,226.452
596,75.7143,232.258
597,75.7143,238.065
598,75.7143,243.871
599,75.7143,249.677
600,75.7143,255.484
601,75.7143,261.29
602,75.7143,267.097
603,75.7143,272.903
604,75.7143,278.71
605,75.7143,284.516
606,75.7143,290.323
607,75.7143,296.129
608,75.7143,301.935
609,75.7143,307.742
610,75.7143,313.548
611,75.7143,319.355
612,75.7143,325.161
613,75.7143,330.968
614,75.7143,336.774
615,75.7143,342.581
616,75.7143,348.387
617,75.7143,354.194
618,-75.7143,0
619,-75.7143,5.80645
620,-75.7143,11.6129
621,-75.7143,17.4194
622,-75.7143,23.2258
623,-75.7143,29.0323
624,-75.7143,34.8387
625,-75.7143,40.6452
626,-75.7143,46.4516
627,-75.7143,52.2581
628,-75.7143,58.0645
629,-75.7143,63.871
630,-75.7143,69.6774
631,-75.7143,75.4839
632,-75.7143,81.2903
633,-75.7143,87.0968
634,-75.7143,92.9032
635,-75.7143,98.7097
636,-75.7143,104.516
637,-75.7143,110.323
638,-75.7143,116.129
639,-75.7143,121.935
640,-75.7143,127.742
641,-75.7143,133.548
642,-75.7143,139.355
643,-75.7143,145.161
644,-75.7143,150.968
645,-75.7143,156.774
646,-75.7143,162.581
647,-75.7143,168.387
648,-75.7143,174.194
649,-75.7143,180
650,-75.7143,185.806
651,-75.7143,191.613
652,-75.7143,197.419
653,-75.7143,203.226
654,-75.7143,209.032
655,-75.7143,214.839
656,-75.7143,220.645
657,-75.7143,226.452
658,-75.7143,232.258
659,-75.7143,238.065
660,-75.7143,243.871
661,-75.7143,249.677
662,-75.7143,255.484
663,-75.7143,261.29
664,-75.7143,267.097
665,-75.7143,272.903
666,-75.7143,278.71
667,-75.7143,284.516
668,-75.7143,290.323
669,-75.7143,296.129
670,-75.7143,301.935
671,-75.7143,307.742
672,-75.7143,313.548
673,-75.7143,319.355
674,-75.7143,325.161
675,-75.7143,330.968
676,-75.7143,336.774
677,-75.7143,342.581
678,-75.7143,348.387
679,-75.7143,354.194
680,74.2857,0
681,74.2857,5.29412
682,74.2857,10.5882
683,74.2857,15.8824
684,74.2857,21.1765
685,74.2857,26.4706
686,74.2857,31.7647
687,74.2857,37.0588
688,74.2857,42.3529
689,74.2857,47.6471
690,74.2857,52.9412
691,74.2857,58.2353
692,74.2857,63.5294
693,74.2857,68.8235
694,74.2857,74.1176
695,74.2857,79.4118
696,74.2857,84.7059
697,74.2857,90
698,74.2857,95.2941
699,74.2857,100.588
700,74.2857,105.882
701,74.2857,111.176
702,74.2857,116.471
703,74.2857,121.765
704,74.2857,127.059
705,74.2857,132.353
706,74.2857,137.647
707,74.2857,142.941
708,74.2857,148.235
709,74.2857,153.529
710,74.2857,158.824
711,74.2857,164.118
712,74.2857,169.412
713,74.2857,174.706
714,74.2857,180
715,74.2857,185.294
716,74.2857,190.588
717,74.2857,195.882
718,74.2857,201.176
719,74.2857,206.471
720,74.2857,211.765
721,74.2857,217.059
722,74.2857,222.353
723,74.2857,227.647
724,74.2857,232.941
725,74.2857,238.235
726,74.2857,243.529
727,74.2857,248.824
728,74.2857,254.118
729,74.2857,259.412
730,74.2857,264.706
731,74.2857,270
732,74.2857,275.294
733,74.2857,280.588
734,74.2857,285.882
735,74.2857,291.176
736,74.2857,296.471
737,74.2857,301.765
738,74.2857,307.059
739,74.2857,312.353
740,74.2857,317.647
741,74.2857,322.941
742,74.2857,328.235
743,74.2857,333.529
744,74.2857,338.824
745,74.2857,344.118
746,74.2857,349.412
747,74.2857,354.706
748,-74.2857,0
749,-74.2857,5.29412
750,-74.2857,10.5882
751,-74.2857,15.8824
752,-74.2857,21.1765
753,-74.2857,26.4706
754,-74.2857,31.7647
755,-74.2857,37.0588
756,-74.2857,42.3529
757,-74.2857,47.6471
758,-74.2857,52.9412
759,-74.2857,58.2353
760,-74.2857,63.5294
761,-74.2857,68.8235
762,-74.2857,74.1176
763,-74.2857,79.4118
764,-74.2857,84.7059
765,-74.2857,90
766,-74.2857,95.2941
767,-74.2857,100.588
768,-74.2857,105.882
769,-74.2857,111.176
770,-74.2857,116.471
771,-74.2857,121.765
772,-74.2857,127.059
773,-74.2857,132.353
774,-74.2857,137.647
775,-74.2857,142.941
776,-74.2857,148.235
777,-74.2857,153.529
778,-74.2857,158.824
779,-74.2857,164.118
780,-74.2857,169.412
781,-74.2857,174.706
782,-74.2857,180
783,-74.2857,185.294
784,-74.2857,190.588
785,-74.2857,195.882
786,-74.2857,201.176
787,-74.2857,206.471
788,-74.2857,211.765
789,-74.2857,217.059
790,-74.2857,222.353
791,-74.2857,227.647
792,-74.2857,232.941
793,-74.2857,238.235
794,-74.2857,243.529
795,-74.2857,248.824
796,-74.2857,254.118
797,-74.2857,259.412
798,-74.2857,264.706
799,-74.2857,270
800,-74.2857,275.294
801,-74.2857,280.588
802,-74.2857,285.882
803,-74.2857,291.176
804,-74.2857,296.471
805,-74.2857,301.765
806,-74.2857,307.059
807,-74.2857,312.353
808,-74.2857,317.647
809,-74.2857,322.941
810,-74.2857,328.235
811,-74.2857,333.529
812,-74.2857,338.824
813,-74.2857,344.118
814,-74.2857,349.412
815,-74.2857,354.706
816,72.8571,0
817,72.8571,4.93151
818,72.8571,9.86301
819,72.8571,14.7945
820,72.8571,19.726
